date,statarb
2025-04-19,10.93079514
2025-04-20,10.90556206
2025-04-21,11.00206382
2025-04-22,11.03997322
2025-04-23,10.81259278
2025-04-24,10.87104739
2025-04-25,10.66586836
2025-04-26,11.20332315
2025-04-27,12.16111005
2025-04-28,11.89705714
2025-04-29,12.06100814
2025-04-30,11.83965071
2025-05-01,12.0357251
2025-05-02,12.41561092
2025-05-03,12.5480556
2025-05-04,12.5960097
2025-05-05,12.68421993
2025-05-06,12.74409774
2025-05-07,12.87423494
2025-05-08,12.9550901
2025-05-09,12.70597286
2025-05-10,12.35847515
2025-05-11,12.10872858
2025-05-12,11.9450315
2025-05-13,12.13442161
2025-05-14,11.8803721
2025-05-15,12.26522395
2025-05-16,12.39095334
2025-05-17,12.30405636
2025-05-18,12.35055382
2025-05-19,12.57248409
2025-05-20,12.77024747
2025-05-21,12.82175895
2025-05-22,12.58905903
2025-05-23,12.54429407
2025-05-24,12.70497127
2025-05-25,12.21253663
2025-05-26,12.40362746
2025-05-27,12.41418502
2025-05-28,12.68690375
2025-05-29,12.85609782
2025-05-30,12.98518564
2025-05-31,13.19933752
2025-06-01,13.14356414
2025-06-02,13.09869887
2025-06-03,13.33976601
2025-06-04,13.19723322
2025-06-05,12.8470729
2025-06-06,13.11155272
2025-06-07,13.02775789
2025-06-08,12.78921048
2025-06-09,12.84528361
2025-06-10,12.8950822
2025-06-11,12.87923658
2025-06-12,12.80609973
2025-06-13,12.8628744
2025-06-14,12.89980016
2025-06-15,12.95734386
2025-06-16,12.93292553
2025-06-17,12.96191154
2025-06-18,12.97614532
2025-06-19,12.94545249
2025-06-20,13.07253359
2025-06-21,13.21965299
2025-06-22,13.63223664
2025-06-23,13.58492273
2025-06-24,13.49877431
2025-06-25,13.55435512
2025-06-26,13.77171971
2025-06-27,13.52559245
2025-06-28,13.48369749
2025-06-29,13.19231608
2025-06-30,13.20533763
2025-07-01,13.37335517
2025-07-02,13.4098267
2025-07-03,12.91168107
2025-07-04,12.974606
2025-07-05,13.09756792
2025-07-06,13.13756708
2025-07-07,12.97371471
2025-07-08,13.11310864
2025-07-09,13.23348326
2025-07-10,13.09193231
2025-07-11,12.77926064
2025-07-12,13.44697543
2025-07-13,13.5824318
2025-07-14,13.68105404
